StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      110,      00,   195711,   3.12,  40.26,   3.63,   3.63,   3.36,   3.63,     13,    569,   1.46,   1.55,   1.57,   1.04,   2.32,    1.6,   -.32,  30.67,  49.86,
      110,      00,   195712,    2.4,     37,      4,      4,   2.22,      4,      5,    737,    .04,   1.03,   1.24,    .54,   2.09,   1.82,   -.22,  26.26,  47.77,
      110,      00,   195801,   2.29,   31.6,   4.25,   4.25,   1.98,   4.25,      2,    935,    .06,    .06,    .86,    .86,   1.45,   1.77,   -.18,  21.42,  41.79,
      110,      00,   195802,   2.43,  31.98,   4.34,   4.34,   1.57,   4.34,      1,    875,    .72,     .5,    .43,   1.45,   1.05,   2.14,   -.22,  21.85,   42.1,
      110,      00,   195803,   2.66,  37.67,   4.34,   4.34,   1.35,   4.34,      7,    714,    .38,    .73,     .6,    1.3,    .73,   2.14,   -.01,  28.56,  46.78,
      110,      00,   195804,   3.05,  50.27,   4.55,   4.55,   1.98,   4.55,     27,    348,   1.15,    .94,   1.12,   1.29,    1.3,   1.77,    .25,   38.5,  62.04,
      110,      00,   195805,   2.46,  62.42,    3.4,    3.4,  -2.05,   2.57,    102,    156,   -.94,    .15,    .27,    .41,   1.23,    .93,    .18,  48.81,  76.03,
      110,      00,   195806,    3.2,  67.93,   3.37,   3.37,    .96,   2.85,    187,     61,    .54,    -.3,    .32,    .55,   1.16,    .71,    .45,  55.31,  80.53,
      110,      00,   195807,   3.86,  72.63,   4.13,   4.13,   3.34,   4.13,    308,     10,   3.08,   2.24,    .92,   1.33,   1.48,   1.48,    .75,  60.17,  85.06,
      110,      00,   195808,    2.4,  73.29,   3.69,   3.69,   -.06,   3.61,    296,     12,    -.6,   1.64,   1.49,    .93,    .91,    1.6,    .81,  59.92,  86.65,
      110,      00,   195809,   2.82,  65.43,   3.63,   3.63,    .95,   3.63,    161,     70,    .73,    .18,   1.51,   1.11,   1.19,    1.6,   1.24,  52.88,  77.95,
      110,      00,   195810,   1.53,  54.73,   -.55,    2.7,  -1.65,   1.99,     47,    268,  -1.17,   -.43,   -.63,    .14,    .65,    .97,   1.14,  41.63,  67.86,
      110,      00,   195811,   2.21,  43.02,   -.69,   2.23,   -.58,   1.26,     18,    513,   -.03,   -.79,   -.33,    .42,    .41,    .52,   1.39,  31.41,  54.61,
      110,      00,   195812,   1.32,  32.22,  -1.55,   1.07,  -2.79,   -.97,      5,    929,  -1.89,  -1.24,  -1.55,   -.41,   -.18,    .03,   1.12,  21.09,  43.34,
      110,      00,   195901,   2.19,   29.5,  -2.01,  -2.01,  -1.86,  -2.01,      5,    959,   -.13,  -1.43,  -1.09,   -1.1,   -.46,   -.01,   1.07,  18.55,  40.46,
      110,      00,   195902,   2.35,  32.49,  -1.52,  -1.52,    .83,  -1.07,     12,    776,    .55,    .24,  -1.07,   -.85,   -.16,   -.06,   1.18,  21.74,  43.23,
      110,      00,   195903,   2.14,  41.45,  -1.77,  -1.77,   -1.2,  -1.77,     11,    638,   -.74,   -.12,   -.22,  -1.39,   -.45,   -.27,   1.06,  29.12,  53.78,
      110,      00,   195904,   2.14,   51.6,  -1.96,  -1.96,  -1.12,  -1.96,     30,    324,   -.87,  -1.06,   -.53,  -1.29,  -1.27,   -.64,    .67,  38.68,  64.51,
      110,      00,   195905,    3.2,  60.84,  -1.54,  -1.54,    .66,  -1.16,    127,    131,    .59,   -.09,   -.44,  -1.01,   -.93,   -.32,    .38,  48.56,  73.13,
      110,      00,   195906,   2.62,  69.96,  -1.75,  -1.75,   -1.1,  -1.75,    221,     31,   -.75,   -.09,   -.46,   -.52,  -1.23,   -.58,     .1,  56.91,  83.01,
      110,      00,   195907,   2.94,  73.58,    .16,  -1.41,    .47,   -1.1,    319,      7,    .39,   -.33,    .04,   -.36,   -.85,   -.95,    .27,   60.1,  87.08,
      110,      00,   195908,   2.76,  73.17,    .24,  -1.17,    .29,   -.66,    328,      9,    .39,    .46,   -.13,   -.46,   -.84,   -.82,    .44,  60.33,     86,
      110,      00,   195909,   2.82,  64.74,    .56,    -.7,   1.05,    .36,    169,     58,    .73,    .75,    .79,    .08,   -.09,   -.84,    .42,  52.41,  77.05,
      110,      00,   195910,    3.5,  53.33,   1.82,   1.82,   3.96,   1.82,     61,    266,   2.02,   1.93,   1.85,    1.3,    .68,    .03,    .67,  41.79,  64.85,
      110,      00,   195911,   1.72,  38.66,   1.78,   1.78,    .42,   1.78,     11,    621,   -.85,    .87,    .97,    .67,    .22,   -.21,    .24,  26.58,  50.74,
      110,      00,   195912,   2.22,  35.94,   1.91,   1.91,    .96,   1.91,      5,    761,   -.28,   -.74,    .54,    .77,    .35,     .2,    .23,  25.97,  45.93,
      110,      00,   196001,   2.26,  29.46,   2.24,   2.24,   1.58,   2.24,      6,    910,    .01,    -.2,   -.62,    .65,    .56,    .22,    .22,  20.16,  38.75,
      110,      00,   196002,   2.59,  30.52,   2.69,   2.69,   2.03,   2.69,      4,    801,   1.06,    .68,    .38,    .94,    .72,    .33,    .29,  20.61,  40.46,
      110,      00,   196003,   2.12,  35.91,    .02,   2.43,    .06,   2.39,      6,    840,   -.79,    .21,    .13,     .5,     .7,    .33,    .12,   24.6,  47.21,
      110,      00,   196004,   2.15,  52.59,   -.48,    1.7,  -1.44,    .98,     36,    298,   -.84,  -1.08,   -.23,   -.65,    .44,    .38,   -.12,  39.83,  65.32,
      110,      00,   196005,   2.87,  59.31,   -.33,   1.63,    .32,   1.01,     76,    177,   -.06,   -.55,   -.82,   -.36,    .32,    .21,   -.04,   46.2,  72.41,
      110,      00,   196006,   2.69,  69.08,    -.5,   1.25,   -.63,    .34,    212,     38,   -.61,   -.44,   -.72,   -.49,   -.04,    .22,   -.19,  55.74,  82.38,
      110,      00,   196007,   2.68,  73.89,   -.52,   1.06,    -.2,    .05,    298,     10,   -.34,    -.6,   -.51,   -.55,   -.75,    .09,   -.53,  60.26,  87.49,
      110,      00,   196008,   2.83,  72.21,   -.25,   1.16,    .63,    .39,    291,     14,    .57,     .1,   -.28,   -.76,   -.44,    .13,   -.41,  59.14,  85.28,
      110,      00,   196009,   2.21,  66.45,   -.65,    .62,  -1.27,   -.58,    173,     56,   -.62,   -.11,   -.25,   -.68,   -.53,   -.15,    -.6,   53.1,  79.81,
